idx,ant_x,ant_y,ball_x,ball_y,ant_ball_dist,ball_speed_xy,ball_speed_full,next_ball_move,speed_gain,action_norm
24181,16.465485,17.694124,15.666571,16.553932,1.392229,6.987524,9.4677849,0.69875246,0,1.8532884
24180,16.452169,17.709354,16.357119,16.660696,1.0529573,6.987524,9.6643085,0.69875246,0,1.5927299
60330,10.743051,7.6174026,10.406509,6.1740637,1.4820551,6.7128062,9.4093132,0.67128116,0,1.8919982
60329,10.663557,7.6626048,10.959995,6.5538931,1.1476573,6.7128062,9.585433,0.67128009,0,1.911871
525064,3.6286941,14.241629,4.4465313,15.256856,1.3036656,6.6860228,8.6665049,0.66860241,0,2.1981568
150772,0.43604097,2.9835601,0.7037273,4.2628021,1.3069491,6.4165158,7.8702188,0.64165163,0,2.3637571
339968,15.42092,18.88596,14.728143,17.82291,1.2688636,6.3971615,8.5838308,0.63971651,0,1.9450927
339967,15.382133,18.91177,15.357821,17.922598,0.98947066,6.1116085,8.8857985,0.63752091,0.28555298,2.5752099
101247,12.016769,12.966766,11.681825,11.605649,1.4017234,6.3541732,8.1197205,0.6354174,0,2.0510752
469149,16.001637,6.7634196,16.651222,5.4157009,1.4960973,6.2911119,8.0522919,0.62911129,0,2.4181426
469148,15.965446,6.7541423,16.781357,6.0312052,1.0901144,6.2911119,8.1053839,0.62911093,0,2.2839282
75427,18.854609,14.776372,18.557705,13.870705,0.95309234,6.2200198,8.8700466,0.62597209,0.039693832,2.1193852
75428,18.948807,14.667293,17.934412,13.812852,1.3262978,6.2597136,8.6643629,0.62597018,0,2.0023539
159945,10.824195,9.6210585,11.422588,8.4043636,1.3558838,6.259017,8.0786295,0.62590212,0,1.9319308
337103,14.413324,16.355907,14.098044,15.478506,0.93232751,6.2249689,8.5151901,0.62488997,0.02393055,1.6182132
337104,14.477856,16.240559,13.478421,15.397546,1.3074937,6.2488995,8.2920189,0.62488985,0,1.0746089
525063,3.5789979,14.136502,3.8230822,15.24541,1.135453,5.0522914,6.9730887,0.62355417,1.6337314,2.5874228
899210,8.7233906,8.7491512,8.4938745,7.3547482,1.4131657,6.2250047,7.8305535,0.62249994,0,2.0923662
643657,6.1942754,0.63641053,6.0331106,1.9434956,1.3169835,6.2166953,7.7969027,0.62166923,0,2.0278337
568651,16.034138,3.979255,15.832399,2.6718593,1.3228688,6.2031045,8.2848368,0.6203109,0,2.0367024
615545,3.5612943,15.592562,4.5156622,16.327129,1.2043288,6.1919098,7.9047518,0.61919111,0,1.9321408
788705,10.379639,3.1918674,9.9233303,1.7870181,1.4770981,6.1832228,7.0568881,0.61832184,0,2.1915607
761512,14.821404,4.5970211,15.055702,5.8783832,1.3026067,6.1811733,8.0244102,0.61811692,0,1.6370488
568650,15.97374,4.0176325,16.349604,3.0095928,1.0758336,5.9252715,8.6695776,0.6177088,0.27783298,2.1312501
80119,14.256414,18.709229,13.148973,17.848749,1.4024451,6.1769176,8.1234341,0.61769176,0,2.0529921
80118,14.282743,18.831743,13.762894,17.784779,1.1689221,6.1134763,8.6845894,0.61724502,0.063441277,1.9214021
101246,11.934813,13.118939,12.187549,11.95911,1.1870462,5.178009,6.8872952,0.61700207,1.1761642,2.6039259
421926,18.316515,6.8959346,18.000692,5.5939469,1.3397447,6.1677117,8.5144758,0.61677134,0,2.4876566
719732,10.364763,17.067387,9.3090115,16.258608,1.3299379,6.1525512,8.8365164,0.61525524,0,2.145292
719731,10.320167,17.146496,9.9228945,16.217539,1.0103396,6.1525512,9.0277452,0.61525524,0,1.8764548
665580,2.6972296,7.7195182,3.5930572,8.6695166,1.305758,6.1484351,8.1580296,0.61484373,0,2.0193894
874332,14.285142,3.9140015,15.084213,4.726613,1.139672,6.142787,8.5477514,0.61427909,0,1.8873974
421925,18.292913,7.0136704,18.532095,5.9004154,1.1386591,5.7429209,8.2724476,0.61344248,0.42479086,2.5431182
827631,12.880011,11.292789,13.202575,12.605795,1.352047,6.1195707,8.0350513,0.61195672,0,1.9511372
228152,7.8961101,16.235527,9.0830517,16.017052,1.206881,6.1102166,8.9853592,0.61102182,0,2.2809343
839668,5.7580986,5.5871382,5.8064437,7.0015841,1.4152718,6.1085024,7.6989827,0.6108501,0,2.0796657
399572,9.7180643,12.755013,10.014718,11.463251,1.3253881,6.0824318,8.1200209,0.6082437,0,1.9898015
839667,5.741806,5.4356985,5.3444819,6.6062484,1.2361447,5.7421923,7.5628586,0.60802871,0.36631012,2.2278407
103562,0.58993798,2.4264991,1.444581,3.3818872,1.2818662,6.0801954,7.9959273,0.60801953,0,1.8913081
451267,7.0534163,16.614887,7.9682178,15.499976,1.4421819,6.0765371,7.4245143,0.60765398,0,1.9363508
970814,12.64425,14.209301,13.029271,15.459082,1.3077434,6.0690713,8.0767794,0.60690671,0,1.8061844
689625,6.1468935,7.2434988,6.2142553,6.1105332,1.1349663,6.0650711,8.2015772,0.60650676,0,1.7558912
575517,1.9014279,1.7050554,2.7924902,2.6297414,1.2841482,6.0551672,7.9800797,0.60551667,0,1.9897921
614549,5.960834,11.23383,7.0302649,10.423087,1.3420086,6.0543513,7.6237674,0.60543531,0,1.9427729
643656,6.2389884,0.55048245,5.6524057,1.4752718,1.0951322,5.3828683,7.23773,0.60346478,0.83382702,2.5174081
204104,9.6672335,13.680153,10.226076,12.668562,1.1556909,6.0288649,8.9863205,0.60288644,0,2.4937298
204105,9.699254,13.67223,9.8447895,12.201558,1.4778551,6.0288649,8.7533417,0.60288644,0,2.0332458
754222,15.784383,9.4621735,15.364608,8.148633,1.378985,6.0132384,8.566721,0.60132408,0,2.2287364
754221,15.706974,9.5599241,15.879471,8.4592876,1.1140717,5.9344339,8.6151237,0.60132372,0.078804493,1.9807985
536385,15.56683,7.3196187,15.5753,8.632493,1.3129016,6.0068283,7.7328482,0.60068238,0,1.7925495
744736,16.000788,19.204639,16.464355,17.883572,1.4000411,6.0036421,8.2565145,0.60036457,0,1.7653542
744735,15.893383,19.283037,16.686821,18.441196,1.156823,6.0036421,8.4763508,0.60036349,0,2.1802046
107480,11.739269,11.161156,11.997203,12.375047,1.2409921,6.0031657,7.9788895,0.60031682,0,1.8999282
906765,10.590943,5.3577843,11.013481,6.6514144,1.3608884,6.0016351,7.9089246,0.6001637,0,2.103651
990309,8.9396181,17.974724,8.8140278,16.756021,1.2251564,5.9968185,8.4682207,0.59968191,0,1.8991401
990308,8.9633455,17.970453,9.336112,17.051058,0.99209017,5.9968185,8.5326252,0.59968191,0,1.9705371
305645,5.2137284,12.55506,4.9129591,11.210196,1.3780869,5.9924779,7.9094911,0.59924734,0,1.646549
420342,9.0058794,3.0238874,8.7527704,4.3114448,1.3121997,5.9914699,7.8762646,0.59914708,0,1.5641283
159944,10.708806,9.7235308,11.63356,8.964694,1.1962456,4.7952795,6.3890557,0.5987314,1.4637375,2.5885191
292073,7.3679819,15.565214,7.6172509,14.305749,1.2838955,5.9871788,8.5810032,0.59871757,0,1.8609234
292072,7.2747898,15.648078,7.9395914,14.810232,1.0695544,5.8850465,8.6601639,0.59867078,0.10213232,2.5979819
401093,15.592981,9.8506994,14.690495,8.9416409,1.2809644,5.9838181,8.3521738,0.59838265,0,1.9931335
401092,15.570923,9.9330387,15.288456,8.9192181,1.0524352,5.9660125,8.571702,0.5983817,0.017805576,2.1197948
399571,9.5825052,12.838788,10.313505,11.98156,1.1265883,5.4303303,7.8911796,0.59826213,0.65210152,2.3739488
540124,11.625875,13.011013,12.569799,12.255353,1.2091386,5.9804039,7.9372787,0.59804052,0,2.2478838
447283,17.768465,7.0583982,17.868872,8.3118887,1.2575054,5.9745951,8.1268635,0.59745955,0,2.0267892
741177,4.8681784,14.582593,5.7671251,15.504569,1.2876899,5.9723368,7.5550094,0.59723377,0,2.1748967
735541,6.6567483,6.8302174,6.4777503,5.6788478,1.1652005,5.9717894,8.3401299,0.59717888,0,1.8079362
386004,5.259346,10.34332,5.9890661,9.2160864,1.342813,5.9689679,8.0899572,0.59689689,0,1.8008678
899209,8.7649183,8.7820311,9.0282249,7.620162,1.1913311,4.4557991,5.6191511,0.59663624,1.7692056,2.6981168
359546,14.641649,13.874529,15.360876,15.022958,1.3550558,5.9650464,7.8905425,0.59650481,0,2.1503465
641212,7.8336453,3.787178,7.8285613,5.0733495,1.2861814,5.9645686,8.2240973,0.59645653,0,2.060591
416123,15.040685,12.531934,15.954135,11.539616,1.3487352,5.9643946,8.2162056,0.59643972,0,1.9352306
416122,14.922328,12.53915,15.995889,12.134592,1.1472576,5.9087729,8.3241596,0.59643972,0.055621624,2.2386556
147768,1.7215662,13.31141,1.7901098,14.607435,1.2978365,5.9616852,7.7111826,0.5961687,0,1.9603004
895982,7.8009024,8.9478607,7.9758887,7.5280485,1.4305549,5.9580154,7.6712184,0.59580189,0,1.9855684
569065,4.1392097,18.421089,5.1759772,17.339516,1.4982283,5.9548893,8.0475082,0.59548944,0,1.9653537
569064,3.9804919,18.378229,5.0952392,17.929506,1.2016712,5.9548893,8.2830677,0.59548932,0,2.1688285
359545,14.696328,13.725869,14.792928,14.844706,1.1229988,5.79322,8.289958,0.59526396,0.17182636,2.3288686
486739,3.4171731,-0.41017222,3.0663357,0.78122878,1.2419837,5.9497366,8.1186018,0.59497374,0,2.2416365
