idx,ant_x,ant_y,ball_x,ball_y,ant_ball_dist,ball_speed_xy,ball_speed_full,next_ball_move,speed_gain,action_norm
24180,16.452169,17.709354,16.357119,16.660696,1.0529573,6.987524,9.6643085,0.69875246,0,1.5927299
24183,16.430885,17.631578,14.285475,16.340406,2.5039792,6.987524,9.3751411,0.69875246,0,2.234499
24184,16.360382,17.554604,13.594927,16.233643,3.064748,6.987524,9.4819574,0.69875246,0,2.0567117
24181,16.465485,17.694124,15.666571,16.553932,1.392229,6.987524,9.4677849,0.69875246,0,1.8532884
24182,16.462736,17.682207,14.976023,16.447168,1.9327797,6.987524,9.3703651,0.69875216,0,2.1055365
60330,10.743051,7.6174026,10.406509,6.1740637,1.4820551,6.7128062,9.4093132,0.67128116,0,1.8919982
60332,10.808982,7.5144057,9.2995367,5.4144039,2.5862002,6.7128062,9.3604813,0.67128116,0,1.9428219
60331,10.791285,7.5749636,9.8530226,5.7942338,2.0127926,6.7128062,9.3335161,0.67128038,0,1.8040398
60333,10.769291,7.41465,8.7460499,5.034574,3.1238225,6.7128062,9.4893312,0.67128009,-0.41929054,1.4491168
60329,10.663557,7.6626048,10.959995,6.5538931,1.1476573,6.7128062,9.585433,0.67128009,0,1.911871
525067,3.9265189,14.624697,6.4521694,15.230843,2.5973685,6.6860228,8.3516083,0.66860241,0,2.2362883
525065,3.7104487,14.375338,5.1150775,15.248185,1.6537366,6.6860228,8.4496908,0.66860241,0,1.6187137
525068,4.0887928,14.717341,7.1207156,15.222171,3.0736637,6.6860228,8.474226,0.66860241,0,1.9967724
525064,3.6286941,14.241629,4.4465313,15.256856,1.3036656,6.6860228,8.6665049,0.66860241,0,2.1981568
525066,3.8124838,14.500645,5.7836237,15.239513,2.1050699,6.6860228,8.343318,0.66860193,0,2.0252461
525069,4.2585425,14.754703,7.7892618,15.2135,3.5604036,6.6860228,8.7063398,0.66860193,-0.59105492,1.9398395
150772,0.43604097,2.9835601,0.7037273,4.2628021,1.3069491,6.4165158,7.8702188,0.64165163,0,2.3637571
150773,0.38394323,3.1111898,1.2940319,4.5143123,1.6724275,6.4165158,7.7045851,0.64165157,0,2.2080376
150775,0.35987446,3.3185804,2.4746408,5.0173321,2.7125623,6.4165158,7.7443762,0.64165145,0,2.2850761
150774,0.3528125,3.2147727,1.8843364,4.7658224,2.1797526,6.4165158,7.6619601,0.64165139,0,2.1979353
339968,15.42092,18.88596,14.728143,17.82291,1.2688636,6.3971615,8.5838308,0.63971651,0,1.9450927
339971,15.396871,18.772728,12.831778,17.528074,2.8511164,6.3971615,8.5774717,0.63971651,0,1.4554799
339969,15.456863,18.86747,14.096021,17.72463,1.7770691,6.3971615,8.4688282,0.63971621,0,2.0636668
339970,15.458726,18.83873,13.463899,17.626352,2.3343511,6.3971615,8.4666805,0.63971531,0,1.8654054
339967,15.382133,18.91177,15.357821,17.922598,0.98947066,6.1116085,8.8857985,0.63752091,0.28555298,2.5752099
101248,12.075364,12.828871,11.159913,11.243208,1.8309498,6.3541732,8.0542583,0.63541764,0,2.2316971
101249,12.10231,12.678865,10.638,10.880768,2.318913,6.3541732,8.1078367,0.6354174,0,2.2034967
101247,12.016769,12.966766,11.681825,11.605649,1.4017234,6.3541732,8.1197205,0.6354174,0,2.0510752
469149,16.001637,6.7634196,16.651222,5.4157009,1.4960973,6.2911119,8.0522919,0.62911129,0,2.4181426
469148,15.965446,6.7541423,16.781357,6.0312052,1.0901144,6.2911119,8.1053839,0.62911093,0,2.2839282
75429,19.025496,14.576383,17.311121,13.754999,1.9009868,6.2597136,8.6565523,0.62597215,0,2.0467203
75427,18.854609,14.776372,18.557705,13.870705,0.95309234,6.2200198,8.8700466,0.62597209,0.039693832,2.1193852
75428,18.948807,14.667293,17.934412,13.812852,1.3262978,6.2597136,8.6643629,0.62597018,0,2.0023539
159945,10.824195,9.6210585,11.422588,8.4043636,1.3558838,6.259017,8.0786295,0.62590212,0,1.9319308
159948,11.035374,9.1786184,10.746406,6.6526346,2.5424588,6.259017,8.0024567,0.625902,0,2.5153432
159947,10.982064,9.3456144,10.9718,7.2365441,2.1090953,6.259017,7.9071422,0.62590164,0,2.0764558
159946,10.908332,9.4925346,11.197194,7.8204536,1.696849,6.259017,7.9329195,0.62590164,0,2.0546474
337103,14.413324,16.355907,14.098044,15.478506,0.93232751,6.2249689,8.5151901,0.62488997,0.02393055,1.6182132
337105,14.536442,16.134714,12.858798,15.316586,1.8664998,6.2488995,8.3057823,0.62488997,0,1.3558841
337104,14.477856,16.240559,13.478421,15.397546,1.3074937,6.2488995,8.2920189,0.62488985,0,1.0746089
525063,3.5789979,14.136502,3.8230822,15.24541,1.135453,5.0522914,6.9730887,0.62355417,1.6337314,2.5874228
899212,8.5791378,8.6069679,7.3821197,6.7943668,2.1721821,6.2250047,7.62216,0.6225006,0,1.9459839
899211,8.660675,8.682518,7.9379973,7.0745578,1.7628951,6.2250047,7.6645336,0.6225006,0,1.6153265
899213,8.472455,8.4691849,6.826242,6.5141759,2.555793,6.2250047,7.705471,0.6225006,0,1.4022393
899210,8.7233906,8.7491512,8.4938745,7.3547482,1.4131657,6.2250047,7.8305535,0.62249994,0,2.0923662
643659,6.1386247,0.82904774,6.8351521,2.8935592,2.1788433,6.2166953,7.6339941,0.62166965,0,1.7412429
643658,6.1479454,0.72961408,6.4341311,2.4185274,1.7129887,6.2166953,7.6532621,0.62166965,0,2.2317419
643660,6.1415272,0.93545651,7.2361732,3.3685911,2.6680317,6.2166953,7.7400279,0.62166965,0,1.88704
643657,6.1942754,0.63641053,6.0331106,1.9434956,1.3169835,6.2166953,7.7969027,0.62166923,0,2.0278337
568651,16.034138,3.979255,15.832399,2.6718593,1.3228688,6.2031045,8.2848368,0.6203109,0,2.0367024
568652,16.0863,3.9398401,15.31204,2.3342025,1.7825683,6.2031045,8.2782707,0.62031001,0,1.9480816
615548,3.7183735,15.936433,6.3032122,15.821914,2.5873742,6.1919098,7.6609588,0.61919159,0,1.8977456
615546,3.6061995,15.716885,5.1115122,16.158724,1.5688174,6.1919098,7.7003536,0.61919111,0,1.8650786
615545,3.5612943,15.592562,4.5156622,16.327129,1.2043288,6.1919098,7.9047518,0.61919111,0,1.9321408
615549,3.8119807,16.050001,6.8990626,15.653508,3.1124399,6.1919098,7.8278222,0.61919087,0,2.0012288
615547,3.6520514,15.826331,5.7073622,15.990318,2.0618424,6.1919098,7.6177759,0.61919087,0,2.1732268
788706,10.32644,3.1322052,9.3692255,1.5126282,1.8812999,6.1832228,6.9388905,0.61832267,0,2.0988359
788707,10.244434,3.0594447,8.8151197,1.2382385,2.3151097,6.1832228,6.9585528,0.61832184,0,1.9679806
788705,10.379639,3.1918674,9.9233303,1.7870181,1.4770981,6.1832228,7.0568881,0.61832184,0,2.1915607
761514,14.717661,4.9448819,16.117668,6.5112357,2.1008296,6.1811733,7.9870071,0.61811852,0,2.1077564
761513,14.758007,4.7815046,15.586685,6.1948094,1.6383338,6.1811733,7.9453988,0.61811692,0,2.2719512
761512,14.821404,4.5970211,15.055702,5.8783832,1.3026067,6.1811733,8.0244102,0.61811692,0,1.6370488
568650,15.97374,4.0176325,16.349604,3.0095928,1.0758336,5.9252715,8.6695776,0.6177088,0.27783298,2.1312501
80121,14.182164,18.527153,11.920318,17.97751,2.327672,6.1769176,7.9429874,0.61769193,0,1.8516408
80119,14.256414,18.709229,13.148973,17.848749,1.4024451,6.1769176,8.1234341,0.61769176,0,2.0529921
80120,14.222827,18.608757,12.534645,17.91313,1.8258847,6.1769176,7.973598,0.61769176,0,1.8221434
80122,14.079612,18.533117,11.30599,18.041893,2.8167849,6.1769176,8.0329676,0.61769176,0,2.1590972
80123,13.975568,18.540165,10.691663,18.106274,3.3124454,6.1769176,8.2395878,0.61769176,-0.51740789,1.8590379
80118,14.282743,18.831743,13.762894,17.784779,1.1689221,6.1134763,8.6845894,0.61724502,0.063441277,1.9214021
101246,11.934813,13.118939,12.187549,11.95911,1.1870462,5.178009,6.8872952,0.61700207,1.1761642,2.6039259
421928,18.279186,6.6095662,16.930819,4.9799457,2.1151261,6.1677117,8.3071575,0.61677134,0,1.7531115
421927,18.313736,6.7547636,17.465755,5.2869463,1.6951574,6.1677117,8.3540545,0.61677134,0,1.8213362
421930,18.117905,6.2909083,15.860946,4.3659444,2.9663699,6.1677117,8.5568876,0.61677134,0,1.9336331
421926,18.316515,6.8959346,18.000692,5.5939469,1.3397447,6.1677117,8.5144758,0.61677134,0,2.4876566
421929,18.201424,6.4384413,16.395882,4.672945,2.525264,6.1677117,8.3756933,0.61677051,0,1.6839031
719731,10.320167,17.146496,9.9228945,16.217539,1.0103396,6.1525512,9.0277452,0.61525524,0,1.8764548
719733,10.392418,17.00732,8.6951284,16.299677,1.8388994,6.1525512,8.7517195,0.61525524,0,1.5130213
719732,10.364763,17.067387,9.3090115,16.258608,1.3299379,6.1525512,8.8365164,0.61525524,0,2.145292
719735,10.277154,16.981724,7.4673629,16.381815,2.8731198,6.1525512,8.9097624,0.61525512,0,1.600759
719734,10.386641,16.967064,8.0812454,16.340746,2.3889582,6.1525512,8.7764387,0.61525476,0,2.2543581
665586,3.359401,8.2611294,7.2698998,8.3695154,3.9120007,6.1484351,8.2072477,0.61484373,-0.56910849,2.1338792
665580,2.6972296,7.7195182,3.5930572,8.6695166,1.305758,6.1484351,8.1580296,0.61484373,0,2.0193894
665583,2.9018314,8.1137209,5.4314785,8.519516,2.5619884,6.1484351,7.6351113,0.61484373,0,1.8574356
665585,3.207979,8.2425966,6.6570926,8.4195156,3.4536481,6.1484351,7.9001813,0.61484373,0,2.3203697
665582,2.8123682,7.9859648,4.8186712,8.5695162,2.0894458,6.1484351,7.6891508,0.61484373,0,2.5647252
665581,2.7459061,7.8605728,4.2058644,8.6195164,1.6454403,6.1484351,7.8661222,0.61484325,0,1.6243101
665584,3.0338259,8.2147408,6.0442858,8.4695158,3.0212214,6.1484351,7.7065902,0.61484325,0,2.257812
874333,14.266149,4.0453072,15.69305,4.6450276,1.5478092,6.142787,8.46667,0.61427909,0,1.9158164
874332,14.285142,3.9140015,15.084213,4.726613,1.139672,6.142787,8.5477514,0.61427909,0,1.8873974
874334,14.26925,4.1733141,16.301888,4.5634427,2.0697381,6.142787,8.4988031,0.61427724,0,1.6484338
421925,18.292913,7.0136704,18.532095,5.9004154,1.1386591,5.7429209,8.2724476,0.61344248,0.42479086,2.5431182
827633,12.837705,11.585442,14.307006,13.133238,2.1341321,6.1195707,7.7330699,0.61195797,0,2.0492804
827631,12.880011,11.292789,13.202575,12.605795,1.352047,6.1195707,8.0350513,0.61195672,0,1.9511372
827634,12.839778,11.733608,14.859222,13.39696,2.6162751,6.1195707,7.7657332,0.61195672,0,2.173089
827635,12.881871,11.860037,15.411438,13.660682,3.1050007,6.1195707,7.9207053,0.61195672,0,2.0692978
827632,12.852125,11.430889,13.75479,12.869516,1.6983676,6.1195707,7.8242474,0.61195672,0,2.0443335
228152,7.8961101,16.235527,9.0830517,16.017052,1.206881,6.1102166,8.9853592,0.61102182,0,2.2809343
228157,8.183075,15.905684,9.8739386,13.066089,3.3048933,6.1102166,8.646595,0.61102182,0,2.2509432
228155,8.0712862,16.238575,9.5575838,14.246473,2.4854677,6.1102166,8.4485893,0.61102182,0,2.4919214
228153,7.9453912,16.264673,9.2412291,15.426859,1.5430906,6.1102166,8.7001505,0.61102182,0,2.2508528
228154,8.0087948,16.270908,9.3994064,14.836666,1.9977117,6.1102166,8.5189953,0.61102182,0,2.3215346
228158,8.2386007,15.720672,10.032116,12.475896,3.7074609,6.1102166,8.9074774,0.61102182,-0.52024937,2.1855607
228156,8.1326876,16.119051,9.7157612,13.656281,2.9276886,6.1102166,8.4916887,0.61102086,0,1.5753742
839671,5.9546728,6.0749063,7.1994996,8.1922293,2.4561453,6.1085024,7.6853671,0.61085045,0,2.1780496
839669,5.810503,5.7422013,6.2707953,7.3984661,1.7190351,6.1085024,7.5683413,0.61085016,0,2.4191799
839670,5.8688154,5.9054642,6.7351475,7.7953477,2.0789881,6.1085024,7.5637274,0.61085016,0,2.2116981
839668,5.7580986,5.5871382,5.8064437,7.0015841,1.4152718,6.1085024,7.6989827,0.6108501,0,2.0796657
399572,9.7180643,12.755013,10.014718,11.463251,1.3253881,6.0824318,8.1200209,0.6082437,0,1.9898015
399574,9.8645468,12.523512,9.3935976,10.417283,2.1582384,6.0824318,7.8813291,0.60824341,0,2.3961663
399573,9.8070364,12.644634,9.7041578,10.940267,1.7074698,6.0824318,7.9412022,0.60824293,0,1.7004124
399576,9.8575325,12.172738,8.7724762,9.371316,3.0042157,6.0824318,8.1237202,0.60824293,0,1.6748192
399575,9.8726501,12.359006,9.0830364,9.8942995,2.5881011,6.0824318,7.9430933,0.60824293,0,1.6091399
839667,5.741806,5.4356985,5.3444819,6.6062484,1.2361447,5.7421923,7.5628586,0.60802871,0.36631012,2.2278407
103566,0.87610877,2.7856829,3.8737633,3.2632372,3.0354555,6.0801954,7.7954798,0.60801977,0,2.4754014
103564,0.63876331,2.6440639,2.6591721,3.3225622,2.1312933,6.0801954,7.6487079,0.60801977,0,2.421859
103562,0.58993798,2.4264991,1.444581,3.3818872,1.2818662,6.0801954,7.9959273,0.60801953,0,1.8913081
103565,0.7090739,2.7564514,3.2664678,3.2928996,2.6130521,6.0801954,7.6598797,0.60801947,0,1.9820298
103563,0.59944302,2.5363283,2.0518765,3.3522246,1.6659081,6.0801954,7.7625017,0.60801947,0,2.5432994
103567,1.0198112,2.7988613,4.4810591,3.2335746,3.4884398,6.0801954,8.049222,0.60801947,0,2.0771303
451267,7.0534163,16.614887,7.9682178,15.499976,1.4421819,6.0765371,7.4245143,0.60765398,0,1.9363508
451268,7.0599585,16.634649,7.7943826,14.917718,1.8674133,6.0765371,7.2237201,0.60765398,0,2.377471
451271,7.0485373,16.519991,7.2728767,13.170944,3.3565521,6.0765371,7.4098997,0.60765398,0,1.9800065
451269,7.0565467,16.642809,7.6205473,14.33546,2.3752804,6.0765371,7.1530113,0.60765398,0,2.3939438
451270,7.0531073,16.622677,7.446712,13.753201,2.8963447,6.0765371,7.2162132,0.60765302,0,2.3207059
970815,12.579553,14.348597,13.568352,15.737879,1.7052357,6.0690713,7.9879065,0.60690755,0,1.9492059
970816,12.514283,14.480377,14.107433,16.016676,2.2132196,6.0690713,8.0189571,0.60690671,0,2.4265909
970814,12.64425,14.209301,13.029271,15.459082,1.3077434,6.0690713,8.0767794,0.60690671,0,1.8061844
689626,6.1638017,7.2481575,5.7149339,5.7662535,1.5483932,6.0650711,8.1191387,0.60650742,0,1.8524141
