idx,ant_x,ant_y,ball_x,ball_y,ant_ball_dist,ball_speed_xy,ball_speed_full,next_ball_move,speed_gain,action_norm
24180,16.452169,17.709354,16.357119,16.660696,1.0529573,6.987524,9.6643085,0.69875246,0,1.5927299
24182,16.462736,17.682207,14.976023,16.447168,1.9327797,6.987524,9.3703651,0.69875216,0,2.1055365
24183,16.430885,17.631578,14.285475,16.340406,2.5039792,6.987524,9.3751411,0.69875246,0,2.234499
24184,16.360382,17.554604,13.594927,16.233643,3.064748,6.987524,9.4819574,0.69875246,0,2.0567117
24181,16.465485,17.694124,15.666571,16.553932,1.392229,6.987524,9.4677849,0.69875246,0,1.8532884
24185,16.244928,17.542915,12.904379,16.126879,3.6282818,6.987524,9.6874399,0.54387194,-3.2441206,2.0298977
60333,10.769291,7.41465,8.7460499,5.034574,3.1238225,6.7128062,9.4893312,0.67128009,-0.41929054,1.4491168
60329,10.663557,7.6626048,10.959995,6.5538931,1.1476573,6.7128062,9.585433,0.67128009,0,1.911871
60331,10.791285,7.5749636,9.8530226,5.7942338,2.0127926,6.7128062,9.3335161,0.67128038,0,1.8040398
60330,10.743051,7.6174026,10.406509,6.1740637,1.4820551,6.7128062,9.4093132,0.67128116,0,1.8919982
60332,10.808982,7.5144057,9.2995367,5.4144039,2.5862002,6.7128062,9.3604813,0.67128116,0,1.9428219
525064,3.6286941,14.241629,4.4465313,15.256856,1.3036656,6.6860228,8.6665049,0.66860241,0,2.1981568
525068,4.0887928,14.717341,7.1207156,15.222171,3.0736637,6.6860228,8.474226,0.66860241,0,1.9967724
525069,4.2585425,14.754703,7.7892618,15.2135,3.5604036,6.6860228,8.7063398,0.66860193,-0.59105492,1.9398395
525065,3.7104487,14.375338,5.1150775,15.248185,1.6537366,6.6860228,8.4496908,0.66860241,0,1.6187137
525067,3.9265189,14.624697,6.4521694,15.230843,2.5973685,6.6860228,8.3516083,0.66860241,0,2.2362883
525066,3.8124838,14.500645,5.7836237,15.239513,2.1050699,6.6860228,8.343318,0.66860193,0,2.0252461
150772,0.43604097,2.9835601,0.7037273,4.2628021,1.3069491,6.4165158,7.8702188,0.64165163,0,2.3637571
150773,0.38394323,3.1111898,1.2940319,4.5143123,1.6724275,6.4165158,7.7045851,0.64165157,0,2.2080376
150775,0.35987446,3.3185804,2.4746408,5.0173321,2.7125623,6.4165158,7.7443762,0.64165145,0,2.2850761
150776,0.47941017,3.3952198,3.0649452,5.2688422,3.1930318,6.4165158,7.9479437,0.5671261,-2.5919342,2.2531426
150774,0.3528125,3.2147727,1.8843364,4.7658224,2.1797526,6.4165158,7.6619601,0.64165139,0,2.1979353
339972,15.290948,18.740973,12.199656,17.429794,3.357868,6.3971615,8.796936,0.51132023,-3.231885,1.6938798
339969,15.456863,18.86747,14.096021,17.72463,1.7770691,6.3971615,8.4688282,0.63971621,0,2.0636668
339971,15.396871,18.772728,12.831778,17.528074,2.8511164,6.3971615,8.5774717,0.63971651,0,1.4554799
339968,15.42092,18.88596,14.728143,17.82291,1.2688636,6.3971615,8.5838308,0.63971651,0,1.9450927
339970,15.458726,18.83873,13.463899,17.626352,2.3343511,6.3971615,8.4666805,0.63971531,0,1.8654054
101248,12.075364,12.828871,11.159913,11.243208,1.8309498,6.3541732,8.0542583,0.63541764,0,2.2316971
